Name,Volume,SurfaceArea
c5.obj,1119.509033,935.447205
c16.obj,1246.452026,995.733582
c16in1.obj,52.597301,348.096771
c16in1SA.obj,42.287567,195.476761
c16in2.obj,25.371811,84.360947
c16in2SA.obj,7.378176,40.798294
c16in3.obj,14.91101,74.913696
c16in3SA.obj,9.010544,49.440132
c16in4.obj,32.214951,132.744949
c16in4SA.obj,12.373504,97.722832
c16in5.obj,4.617406,33.61095
c16in5SA.obj,3.03779,22.035366
c16in6.obj,6.856872,41.27021
c16in6SA.obj,1.592452,12.214599
c19.obj,915.245605,633.46814
c19in1.obj,21.433096,85.019211
c19in1SA.obj,7.692986,63.209614
c19in2.obj,4.414126,24.851515
c19in2SA.obj,3.086329,18.653849
c19in3.obj,27.605249,143.880341
c19in3SA.obj,9.661039,71.883705
c24.obj,1038.958618,754.663452
c24in1.obj,68.954437,311.957886
c24in1SA.obj,23.345697,148.809357
c24in2.obj,25.509436,106.443825
c24in2SA.obj,3.994059,46.507633
c24in3.obj,19.221203,134.34906
c24in3SA.obj,6.097513,47.086666
c24in4.obj,10.727115,76.637787
c24in4SA.obj,5.244808,40.332336
c26.obj,5.244808,709.443359
c26in1.obj,72.395638,251.247711
c26in1SA.obj,17.760017,126.680061
c26in2.obj,11.253427,47.791927
c26in2SA.obj,4.058766,28.459776
c26in3.obj,4.058766,50.133705
c26in3SA.obj,4.058766,24.165039
c26in4.obj,10.521919,51.210918
c26in4SA.obj,4.374778,31.596476
c27.obj,895.64502,683.082031
c27in1.obj,65.309113,304.437317
c27in1SA.obj,15.518377,73.658638
c27in2.obj,23.108526,103.147598
c27in2SA.obj,4.212732,29.178827
c27in3.obj,3.614205,21.561956
c27in3SA.obj,1.784121,15.319508
c27in4.obj,8.099868,42.913696
c27in4SA.obj,3.701413,24.275166
c27in5.obj,11.721601,51.79533
c27in5SA.obj,0.216004,4.179741
c29.obj,855.635986,556.472107
c31.obj,855.635986,536.468872
c31in1.obj,15.022882,82.46756
c31in1SA.obj,7.71515,40.33585
c32.obj,1099.340576,723.885437
c32in1.obj,11.46169,67.989502
c32in1SA.obj,9.387507,38.671627
c32in2.obj,6.989271,47.305313
c32in2SA.obj,5.386289,23.439571
c32in3.obj,9.305449,63.934334
c32in3SA.obj,6.419098,32.422585
c34.obj,1042.140381,702.382874
c37.obj,1106.085205,696.966248
c37in1.obj,17.309584,53.884243
c37in1SA.obj,4.223951,35.561043
c37in2.obj,20.279091,90.212166
c37in2SA.obj,6.71213,48.910778
c37in3.obj,6.133547,31.093287
c37in3SA.obj,2.42623,17.13728
c38.obj,2.42623,1042.987427
c38in1.obj,2.42623,82.554222
c38in1SA.obj,2.42623,73.822403
c38in2.obj,11.645446,51.314201
c38in2SA.obj,5.810773,37.67149
c38in3.obj,9.874563,41.796104
c38in3SA.obj,2.958748,23.730286
c38in4.obj,27.116604,97.209061
c38in4SA.obj,9.549648,57.62376
c38in5.obj,15.577275,73.277267
c38in5SA.obj,7.661737,47.96759
c43.obj,946.440063,632.104126
c43in1.obj,17.737282,74.282578
c43in1SA.obj,6.805539,52.242886
c43in2.obj,4.839487,37.144619
c43in2SA.obj,3.531873,21.192612
c43in3.obj,5.793751,29.509602
c43in3SA.obj,3.002176,17.303591
c44.obj,910.335083,609.950134
c44in1.obj,9.817485,45.954334
c44in1SA.obj,2.333165,23.31991
c45.obj,1209.373657,775.752747
c45in1.obj,7.770396,46.422062
c45in1SA.obj,2.448536,22.334789
c45in2.obj,24.311152,102.601189
c45in2SA.obj,10.798409,59.060196
c45in3.obj,4.104439,24.453011
c45in3SA.obj,0.040979,1.196156
c45in4.obj,10.899123,55.580929
c45in4SA.obj,8.764301,41.971119
c46.obj,8.764301,659.214783
c46in1.obj,10.993983,60.184757
c46in1SA.obj,4.712626,28.912275
c47.obj,1492.437012,868.861084
c56.obj,1413.572632,921.62384
c56in1.obj,5.50288,31.351282
c56in1SA.obj,2.257736,17.46801
c56in2.obj,32.379581,290.424866
c56in2SA.obj,22.316595,103.319572
c56in3.obj,13.423132,57.060429
c56in3SA.obj,7.965032,38.912945
c58.obj,1041.457153,696.953674
c58in1.obj,10.525416,64.54837
c58in1SA.obj,5.528427,39.447121
c58in2.obj,9.354891,64.532494
c58in2SA.obj,8.129198,45.130836
c58in3.obj,5.751302,35.374775
c58in3SA.obj,4.210489,25.99715
c58in4.obj,8.388777,39.428383
c58in4SA.obj,2.27804,15.205483
c60.obj,2.27804,593.487427
c60in1.obj,6.797408,31.590408
c60in1SA.obj,0.743818,9.510261
c61.obj,803.134338,584.584778
c61in1.obj,7.138358,35.896976
c61in1SA.obj,1.282929,15.143742
c61in2.obj,5.084183,61.033108
c61in2SA.obj,0.593611,6.114952
c62.obj,856.258789,594.763184
c62in1.obj,9.930314,40.913147
c62in1SA.obj,3.448494,22.21055
c62in2.obj,6.076603,33.951752
c62in2SA.obj,2.925745,16.865517
c63.obj,1523.796387,854.525757
c63in1.obj,21.695114,124.849358
c63in1SA.obj,6.373915,50.095108
c63in2.obj,8.667055,47.136654
c63in2SA.obj,1.418915,16.050962
c63in3.obj,10.118545,54.938751
c63in3SA.obj,0.961106,8.683779
c63in4.obj,13.733088,57.305176
c63in4SA.obj,0.127422,2.787742
c63in5.obj,8.223479,50.930058
c63in5SA.obj,2.257022,19.42086
c64.obj,823.210632,643.860596
c64in1.obj,53.997177,203.536377
c64in1SA.obj,18.260113,123.064751
c65.obj,1004.288269,656.235107
c65in1.obj,8.721142,39.7033
c65in1SA.obj,2.220967,23.254498
c65in2.obj,23.84866,122.852493
c65in2SA.obj,12.36665,67.772354
c65in3.obj,9.383472,63.127617
c65in3SA.obj,3.054445,26.097712
c65in4.obj,4.87329,25.382872
c65in4SA.obj,2.269384,15.082836
c66.obj,414.251465,450.990997
c66in1.obj,17.714687,78.298111
c66in1SA.obj,3.890518,33.872871
c66in2.obj,28.826248,146.141281
c66in2SA.obj,6.566084,38.723759
c66in3.obj,48.985683,169.534851
c66in3SA.obj,9.138866,86.586784
c66in4.obj,25.271317,96.12088
c66in4SA.obj,5.699096,40.001846
c66in5.obj,5.131124,23.963425
c66in5SA.obj,1.395651,12.656957
c66in6.obj,6.913934,37.703873
c66in6SA.obj,0.677238,10.076991
c67.obj,0.677238,485.744781
c67in1.obj,10.651372,62.527672
c67in1SA.obj,6.254492,36.0196
c67in2.obj,29.915003,103.559906
c67in2SA.obj,7.052399,52.433739
c68.obj,7.052399,938.808411
c68in1.obj,14.378572,101.517326
c68in1SA.obj,16.040668,61.81786
c68in2.obj,6.973152,40.463158
c68in2SA.obj,3.993927,27.617311
c68in3.obj,8.898211,101.385414
c68in3SA.obj,4.432016,26.000673
